Сербский,Русский,Тема,Тип
Oni uče za ispit.,Они учат к экзамену.,Контролируемые разговорные фразы,phrase
Ja čekam prijatelja.,Я жду друга.,Контролируемые разговорные фразы,phrase
Ja čekam poruku.,Я жду сообщение.,Контролируемые разговорные фразы,phrase
Ti čekaš ispred zgrade.,Ты ждёшь перед зданием.,Контролируемые разговорные фразы,phrase
On čeka termin.,Он ждёт приём.,Контролируемые разговорные фразы,phrase
On čeka dozvolu.,Он ждёт разрешение.,Контролируемые разговорные фразы,phrase
Mi čekamo poziv.,Мы ждём звонок.,Контролируемые разговорные фразы,phrase
Vi čekate odgovor.,Вы ждёте ответ.,Контролируемые разговорные фразы,phrase
Vi čekate potvrdu.,Вы ждёте справку.,Контролируемые разговорные фразы,phrase
Oni čekaju rezultat.,Они ждут результат.,Контролируемые разговорные фразы,phrase
Ja čitam vesti.,Я читаю новости.,Контролируемые разговорные фразы,phrase
Ja čitam projektnu dokumentaciju.,Я читаю проектную документацию.,Контролируемые разговорные фразы,phrase
Ti čitaš uputstvo.,Ты читаешь инструкцию.,Контролируемые разговорные фразы,phrase
On čita knjigu.,Он читает книгу.,Контролируемые разговорные фразы,phrase
On čita naglas.,Он читает вслух.,Контролируемые разговорные фразы,phrase
Mi čitamo članak.,Мы читаем статью.,Контролируемые разговорные фразы,phrase
Mi čitamo tekst ponovo.,Мы читаем текст повторно.,Контролируемые разговорные фразы,phrase
Vi čitate pažljivo.,Вы читаете внимательно.,Контролируемые разговорные фразы,phrase
Oni čitaju izveštaj.,Они читают отчёт.,Контролируемые разговорные фразы,phrase
Oni čitaju komentare.,Они читают комментарии.,Контролируемые разговорные фразы,phrase
Ja pišem svakog dana.,Я пишу каждый день.,Контролируемые разговорные фразы,phrase
Ti pišeš tekst.,Ты пишешь текст.,Контролируемые разговорные фразы,phrase
Ti pišeš komentar.,Ты пишешь комментарий.,Контролируемые разговорные фразы,phrase
On piše kolegi.,Он пишет коллеге.,Контролируемые разговорные фразы,phrase
Mi pišemo prijavu.,Мы пишем заявку.,Контролируемые разговорные фразы,phrase
Mi pišemo spisak pitanja.,Мы пишем список вопросов.,Контролируемые разговорные фразы,phrase
Vi pišete profesoru.,Вы пишете профессору.,Контролируемые разговорные фразы,phrase
Oni pišu izveštaj.,Они пишут отчёт.,Контролируемые разговорные фразы,phrase
Oni pišu opis radova.,Они пишут описание работ.,Контролируемые разговорные фразы,phrase
Ja idem autobusom.,Я иду на автобусе.,Контролируемые разговорные фразы,phrase
Ti ideš kući.,Ты идёшь домой.,Контролируемые разговорные фразы,phrase
Ti ideš na sastanak.,Ты идёшь на встречу.,Контролируемые разговорные фразы,phrase
On ide peške.,Он идёт пешком.,Контролируемые разговорные фразы,phrase
Mi idemo na posao.,Мы идём на работу.,Контролируемые разговорные фразы,phrase
Mi idemo svakog jutra.,Мы идём каждое утро.,Контролируемые разговорные фразы,phrase
Vi idete u centar.,Вы идёте в центр.,Контролируемые разговорные фразы,phrase
Vi idete po dokumenta.,Вы идёте за документами.,Контролируемые разговорные фразы,phrase
Oni idu sutra.,Они идут завтра.,Контролируемые разговорные фразы,phrase
Ja znam gde je banka.,Я знаю где находится банк.,Контролируемые разговорные фразы,phrase
Ja znam šta želim.,Я знаю чего я хочу.,Контролируемые разговорные фразы,phrase
Ti znaš taj grad.,Ты знаешь этот город.,Контролируемые разговорные фразы,phrase
On zna tog čoveka.,Он знает этого человека.,Контролируемые разговорные фразы,phrase
On zna kako da stignem tamo.,Он знает как туда добраться.,Контролируемые разговорные фразы,phrase
Mi znamo pravila.,Мы знаем правила.,Контролируемые разговорные фразы,phrase
Vi znate ovu reč.,Вы знаете это слово.,Контролируемые разговорные фразы,phrase
Vi znate koga da pitam.,Вы знаете кого спросить.,Контролируемые разговорные фразы,phrase
Oni znaju srpsku gramatiku.,Они знают сербскую грамматику.,Контролируемые разговорные фразы,phrase
Ja razumem problem.,Я понимаю проблему.,Контролируемые разговорные фразы,phrase
Ja razumem razgovorni jezik.,Я понимаю разговорную речь.,Контролируемые разговорные фразы,phrase
Ti razumeš situaciju.,Ты понимаешь ситуацию.,Контролируемые разговорные фразы,phrase
On razume ovo pitanje.,Он понимает этот вопрос.,Контролируемые разговорные фразы,phrase
On razume bez prevoda.,Он понимает без перевода.,Контролируемые разговорные фразы,phrase
Mi razumemo pravilo.,Мы понимаем правило.,Контролируемые разговорные фразы,phrase
Vi razumete srpski.,Вы понимаете сербский язык.,Контролируемые разговорные фразы,phrase
Vi razumete dobro.,Вы понимаете хорошо.,Контролируемые разговорные фразы,phrase
Oni razumeju tekst.,Они понимают текст.,Контролируемые разговорные фразы,phrase
Oni razumeju većinu razgovora.,Они понимают большую часть разговора.,Контролируемые разговорные фразы,phrase
Ja želim da platim karticom.,Я хочу заплатить картой.,Контролируемые разговорные фразы,phrase
Ti želiš da otvorim račun.,Ты хочешь открыть счёт.,Контролируемые разговорные фразы,phrase
Ti želiš da govorim bolje.,Ты хочешь говорить лучше.,Контролируемые разговорные фразы,phrase
On želi kopiju dokumenta.,Он хочет копию документа.,Контролируемые разговорные фразы,phrase
Mi želimo da učim srpski.,Мы хотим учить сербский.,Контролируемые разговорные фразы,phrase
Mi želimo da vam zahvalim.,Мы хотим поблагодарить вас.,Контролируемые разговорные фразы,phrase
Vi želite više informacija.,Вы хотите больше информации.,Контролируемые разговорные фразы,phrase
Oni žele novi termin.,Они хотят новую запись.,Контролируемые разговорные фразы,phrase
Oni žele da pitam nešto.,Они хотят кое-что спросить.,Контролируемые разговорные фразы,phrase
Ja mogu da rezervišem termin.,Я могу забронировать время.,Контролируемые разговорные фразы,phrase
Ti možeš da dođem sutra.,Ты можешь прийти завтра.,Контролируемые разговорные фразы,phrase
Ti možeš da predam dokumenta.,Ты можешь подать документы.,Контролируемые разговорные фразы,phrase
On može da objasnim problem.,Он может объяснить проблему.,Контролируемые разговорные фразы,phrase
Mi možemo da platim karticom.,Мы можем заплатить картой.,Контролируемые разговорные фразы,phrase
Mi možemo da dobijem potvrdu.,Мы можем получить справку.,Контролируемые разговорные фразы,phrase
Vi možete da otvorim vrata.,Вы можете открыть дверь.,Контролируемые разговорные фразы,phrase
Oni mogu da pomognem.,Они могут помочь.,Контролируемые разговорные фразы,phrase
Oni mogu da vas pozovem.,Они могут позвонить вам.,Контролируемые разговорные фразы,phrase
Ja moram da pozovem banku.,Я должен / должна позвонить в банк.,Контролируемые разговорные фразы,phrase
Ja moram da sačekam odgovor.,Я должен / должна дождаться ответа.,Контролируемые разговорные фразы,phrase
Ti moraš da odem kod lekara.,Ты должен / должна пойти к врачу.,Контролируемые разговорные фразы,phrase
On mora da zakažem termin.,Он должен / должна записаться.,Контролируемые разговорные фразы,phrase
On mora da donesem pasoš.,Он должен / должна принести паспорт.,Контролируемые разговорные фразы,phrase
Mi moramo da promenim adresu.,Мы должны изменить адрес.,Контролируемые разговорные фразы,phrase
Vi morate da predam dokumenta.,Вы должны подать документы.,Контролируемые разговорные фразы,phrase
Vi morate da proverim podatke.,Вы должны проверить данные.,Контролируемые разговорные фразы,phrase
Oni moraju da kupim kartu.,Они должны купить билет.,Контролируемые разговорные фразы,phrase
Ja gledam mapu.,Я смотрю карту.,Контролируемые разговорные фразы,phrase
Ja gledam šta se dešava.,Я смотрю что происходит.,Контролируемые разговорные фразы,phrase
Ti gledaš pažljivo.,Ты смотришь внимательно.,Контролируемые разговорные фразы,phrase
On gleda vesti.,Он смотрит новости.,Контролируемые разговорные фразы,phrase
On gleda oko sebe.,Он смотрит вокруг себя.,Контролируемые разговорные фразы,phrase
Mi gledamo u telefon.,Мы смотрим в телефон.,Контролируемые разговорные фразы,phrase
Vi gledate seriju.,Вы смотрите сериал.,Контролируемые разговорные фразы,phrase
Vi gledate izložbu.,Вы смотрите выставку.,Контролируемые разговорные фразы,phrase
Oni gledaju televiziju.,Они смотрят телевизор.,Контролируемые разговорные фразы,phrase
Ja tražim stan.,Я ищу квартиру.,Контролируемые разговорные фразы,phrase
Ja tražim dobar restoran.,Я ищу хороший ресторан.,Контролируемые разговорные фразы,phrase
Ti tražiš banku.,Ты ищешь банк.,Контролируемые разговорные фразы,phrase
Ti tražiš prevodioca.,Ты ищешь переводчика.,Контролируемые разговорные фразы,phrase
On traži kolegu.,Он ищет коллегу.,Контролируемые разговорные фразы,phrase
Mi tražimo pomoć.,Мы ищем помощь.,Контролируемые разговорные фразы,phrase
Mi tražimo stručnu knjigu.,Мы ищем профессиональную книгу.,Контролируемые разговорные фразы,phrase
Vi tražite račun.,Вы ищете счёт.,Контролируемые разговорные фразы,phrase
Oni traže informaciju.,Они ищут информацию.,Контролируемые разговорные фразы,phrase
Oni traže odgovor na pitanje.,Они ищут ответ на вопрос.,Контролируемые разговорные фразы,phrase
Ja kupujem svakog dana.,Я покупаю каждый день.,Контролируемые разговорные фразы,phrase
Ti kupuješ povrće.,Ты покупаешь овощи.,Контролируемые разговорные фразы,phrase
Ti kupuješ namirnice.,Ты покупаешь продукты.,Контролируемые разговорные фразы,phrase
On kupuje u prodavnici.,Он покупает в магазине.,Контролируемые разговорные фразы,phrase
Mi kupujemo voće.,Мы покупаем фрукты.,Контролируемые разговорные фразы,phrase
Mi kupujemo knjige.,Мы покупаем книги.,Контролируемые разговорные фразы,phrase
Vi kupujete na pijaci.,Вы покупаете на рынке.,Контролируемые разговорные фразы,phrase
Oni kupuju vodu.,Они покупают воду.,Контролируемые разговорные фразы,phrase
Oni kupuju materijal za posao.,Они покупают материалы для работы.,Контролируемые разговорные фразы,phrase
Ja plaćam preko aplikacije.,Я плачу через приложение.,Контролируемые разговорные фразы,phrase
Ti plaćaš karticom.,Ты платишь картой.,Контролируемые разговорные фразы,phrase
Ti plaćaš kartu.,Ты платишь билет.,Контролируемые разговорные фразы,phrase
On plaća na kasi.,Он платит на кассе.,Контролируемые разговорные фразы,phrase
On plaća bez provizije.,Он платит без комиссии.,Контролируемые разговорные фразы,phrase
Mi plaćamo osiguranje.,Мы платим страховку.,Контролируемые разговорные фразы,phrase
Vi plaćate internet.,Вы платите интернет.,Контролируемые разговорные фразы,phrase
Vi plaćate bankovnim prenosom.,Вы платите банковским переводом.,Контролируемые разговорные фразы,phrase
Oni plaćaju porez.,Они платят налог.,Контролируемые разговорные фразы,phrase
Ja naručujem preko aplikacije.,Я заказываю через приложение.,Контролируемые разговорные фразы,phrase
Ja naručujem doručak.,Я заказываю завтрак.,Контролируемые разговорные фразы,phrase
Ti naručuješ supu.,Ты заказываешь суп.,Контролируемые разговорные фразы,phrase
On naručuje hranu.,Он заказывает еду.,Контролируемые разговорные фразы,phrase
On naručuje sto za večeras.,Он заказывает столик на сегодня вечером.,Контролируемые разговорные фразы,phrase
Mi naručujemo salatu.,Мы заказываем салат.,Контролируемые разговорные фразы,phrase
Vi naručujete vodu.,Вы заказываете воду.,Контролируемые разговорные фразы,phrase
Vi naručujete uslugu dostave.,Вы заказываете доставку.,Контролируемые разговорные фразы,phrase
Oni naručuju sa mlekom.,Они заказывают с молоком.,Контролируемые разговорные фразы,phrase
Ja šaljem mejl.,Я отправляю электронное письмо.,Контролируемые разговорные фразы,phrase
Ja šaljem preko telefona.,Я отправляю через телефон.,Контролируемые разговорные фразы,phrase
Ti šalješ lokaciju.,Ты отправляешь геолокацию.,Контролируемые разговорные фразы,phrase
On šalje poruku.,Он отправляет сообщение.,Контролируемые разговорные фразы,phrase
On šalje kasnije.,Он отправляет позже.,Контролируемые разговорные фразы,phrase
Mi šaljemo adresu.,Мы отправляем адрес.,Контролируемые разговорные фразы,phrase
Mi šaljemo sve potrebne podatke.,Мы отправляем все необходимые данные.,Контролируемые разговорные фразы,phrase
Vi šaljete odmah.,Вы отправляете сразу.,Контролируемые разговорные фразы,phrase
Oni šalju izveštaj.,Они отправляют отчёт.,Контролируемые разговорные фразы,phrase
Oni šalju kratku poruku.,Они отправляют короткое сообщение.,Контролируемые разговорные фразы,phrase
Ja proveravam još jednom.,Я проверяю ещё раз.,Контролируемые разговорные фразы,phrase
Ti proveravaš mejl.,Ты проверяешь почту.,Контролируемые разговорные фразы,phrase
Ti proveravaš status prijave.,Ты проверяешь статус заявки.,Контролируемые разговорные фразы,phrase
On proverava svakog jutra.,Он проверяет каждое утро.,Контролируемые разговорные фразы,phrase
Mi proveravamo rok.,Мы проверяем срок.,Контролируемые разговорные фразы,phrase
Mi proveravamo rezultate.,Мы проверяем результаты.,Контролируемые разговорные фразы,phrase
Vi proveravate kvalitet radova.,Вы проверяете качество работ.,Контролируемые разговорные фразы,phrase
Oni proveravaju adresu.,Они проверяют адрес.,Контролируемые разговорные фразы,phrase
Oni proveravaju u arhivi.,Они проверяют в архиве.,Контролируемые разговорные фразы,phrase
Ja razgovaram na sastanku.,Я разговариваю на встрече.,Контролируемые разговорные фразы,phrase
Ti razgovaraš sa klijentom.,Ты разговариваешь с клиентом.,Контролируемые разговорные фразы,phrase
Ti razgovaraš sa vlasnikom stana.,Ты разговариваешь с владельцем квартиры.,Контролируемые разговорные фразы,phrase
On razgovara telefonom.,Он разговаривает по телефону.,Контролируемые разговорные фразы,phrase
Mi razgovaramo sa kolegom.,Мы разговариваем с коллегой.,Контролируемые разговорные фразы,phrase
Mi razgovaramo o dokumentima.,Мы разговариваем о документах.,Контролируемые разговорные фразы,phrase
Vi razgovarate na srpskom.,Вы разговариваете по-сербски.,Контролируемые разговорные фразы,phrase
Vi razgovarate bez prevodioca.,Вы разговариваете без переводчика.,Контролируемые разговорные фразы,phrase
Oni razgovaraju o problemu.,Они разговаривают о проблеме.,Контролируемые разговорные фразы,phrase
Ja ne radim sa kolegama.,Я не работаю с коллегами.,Контролируемые отрицательные фразы,phrase
On ne radi od kuće.,Он не работает из дома.,Контролируемые отрицательные фразы,phrase
Mi ne radimo svakog dana.,Мы не работаем каждый день.,Контролируемые отрицательные фразы,phrase
Oni ne rade na projektu.,Они не работают над проектом.,Контролируемые отрицательные фразы,phrase
Ti ne živiš u Srbiji.,Ты не живёшь в Сербии.,Контролируемые отрицательные фразы,phrase
On ne živi samostalno.,Он не живёт самостоятельно.,Контролируемые отрицательные фразы,phrase
Vi ne živite blizu parka.,Вы не живёте рядом с парком.,Контролируемые отрицательные фразы,phrase
Ja ne govorim srpski.,Я не говорю по-сербски.,Контролируемые отрицательные фразы,phrase
Ti ne govoriš tiho.,Ты не говоришь тихо.,Контролируемые отрицательные фразы,phrase
Mi ne govorimo engleski.,Мы не говорим по-английски.,Контролируемые отрицательные фразы,phrase
Vi ne govorite sa kolegom.,Вы не говорите с коллегой.,Контролируемые отрицательные фразы,phrase
Ja ne učim uveče.,Я не учу по вечерам.,Контролируемые отрицательные фразы,phrase
On ne uči nove reči.,Он не учит новые слова.,Контролируемые отрицательные фразы,phrase
Mi ne učimo kod kuće.,Мы не учим дома.,Контролируемые отрицательные фразы,phrase
Oni ne uče svakog dana.,Они не учат каждый день.,Контролируемые отрицательные фразы,phrase
Ti ne čekaš autobus.,Ты не ждёшь автобус.,Контролируемые отрицательные фразы,phrase
On ne čeka koleginicu.,Он не ждёт коллегу.,Контролируемые отрицательные фразы,phrase
Vi ne čekate odgovor.,Вы не ждёте ответ.,Контролируемые отрицательные фразы,phrase
Oni ne čekaju dokumenta.,Они не ждут документы.,Контролируемые отрицательные фразы,phrase
Ti ne čitaš dokument.,Ты не читаешь документ.,Контролируемые отрицательные фразы,phrase
Mi ne čitamo vesti.,Мы не читаем новости.,Контролируемые отрицательные фразы,phrase
Vi ne čitate članak.,Вы не читаете статью.,Контролируемые отрицательные фразы,phrase
Ja ne pišem prijavu.,Я не пишу заявку.,Контролируемые отрицательные фразы,phrase
On ne piše poruku.,Он не пишет сообщение.,Контролируемые отрицательные фразы,phrase
Mi ne pišemo beleške.,Мы не пишем заметки.,Контролируемые отрицательные фразы,phrase
Oni ne pišu izveštaj.,Они не пишут отчёт.,Контролируемые отрицательные фразы,phrase
Ja ne gledam televiziju.,Я не смотрю телевизор.,Контролируемые отрицательные фразы,phrase
On ne gleda plan zgrade.,Он не смотрит план здания.,Контролируемые отрицательные фразы,phrase
Vi ne gledate seriju.,Вы не смотрите сериал.,Контролируемые отрицательные фразы,phrase
Oni ne gledaju kroz prozor.,Они не смотрят в окно.,Контролируемые отрицательные фразы,phrase
Ti ne tražiš dokument.,Ты не ищешь документ.,Контролируемые отрицательные фразы,phrase
Mi ne tražimo stan.,Мы не ищем квартиру.,Контролируемые отрицательные фразы,phrase
Vi ne tražite pomoć.,Вы не ищете помощь.,Контролируемые отрицательные фразы,phrase
Ja ne kupujem voće.,Я не покупаю фрукты.,Контролируемые отрицательные фразы,phrase
Ti ne kupuješ lekove.,Ты не покупаешь лекарства.,Контролируемые отрицательные фразы,phrase
Mi ne kupujemo kartu.,Мы не покупаем билет.,Контролируемые отрицательные фразы,phrase
Oni ne kupuju vodu.,Они не покупают воду.,Контролируемые отрицательные фразы,phrase
Ja ne plaćam na kasi.,Я не плачу на кассе.,Контролируемые отрицательные фразы,phrase
On ne plaća kiriju.,Он не платит аренду.,Контролируемые отрицательные фразы,phrase
Vi ne plaćate karticom.,Вы не платите картой.,Контролируемые отрицательные фразы,phrase
Oni ne plaćaju internet.,Они не платят интернет.,Контролируемые отрицательные фразы,phrase
Ti ne naručuješ vodu.,Ты не заказываешь воду.,Контролируемые отрицательные фразы,phrase
On ne naručuje bez šećera.,Он не заказывает без сахара.,Контролируемые отрицательные фразы,phrase
Vi ne naručujete preko aplikacije.,Вы не заказываете через приложение.,Контролируемые отрицательные фразы,phrase
Ja ne šaljem mejl.,Я не отправляю электронное письмо.,Контролируемые отрицательные фразы,phrase
Ti ne šalješ adresu.,Ты не отправляешь адрес.,Контролируемые отрицательные фразы,phrase
Mi ne šaljemo fotografije.,Мы не отправляем фотографии.,Контролируемые отрицательные фразы,phrase
Oni ne šalju poruku.,Они не отправляют сообщение.,Контролируемые отрицательные фразы,phrase
Ja ne proveravam telefon.,Я не проверяю телефон.,Контролируемые отрицательные фразы,phrase
On ne proverava adresu.,Он не проверяет адрес.,Контролируемые отрицательные фразы,phrase
Mi ne proveravamo projekat.,Мы не проверяем проект.,Контролируемые отрицательные фразы,phrase
Oni ne proveravaju mejl.,Они не проверяют почту.,Контролируемые отрицательные фразы,phrase
Ti ne razgovaraš sa klijentom.,Ты не разговариваешь с клиентом.,Контролируемые отрицательные фразы,phrase
On ne razgovara na srpskom.,Он не разговаривает по-сербски.,Контролируемые отрицательные фразы,phrase
Vi ne razgovarate sa prijateljima.,Вы не разговариваете с друзьями.,Контролируемые отрицательные фразы,phrase
Kako ste?,Как вы?,Фиксированные употребительные фразы,fixed_phrase
Tek učim srpski.,Я только учу сербский.,Фиксированные употребительные фразы,fixed_phrase
